URL;Name/Alias;Appearances;Current?;Gender;Probationary Introl;Full/Reserve Avengers Intro;Year;Years since joining;Honorary;Death1;Return1;Death2;Return2;Death3;Return3;Death4;Return4;Death5;Return5;Notes;N/A
http://marvel.wikia.com/Greg_Willis_(Earth-616)#;Greg Willis;58;NO;MALE;N/A;09-Aug;2009;6;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died on Battleworld and came back prior to joining avengers;N/A
http://marvel.wikia.com/Sersi_(Earth-616)#;Circe;237;NO;FEMALE;N/A;Feb-90;1990;25;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Peter_Parker_(Earth-616)#;Peter Benjamin Parker;4333;YES;MALE;N/A;Apr-90;1990;25;Full;YES;YES;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;Since joining the New Avengers: First death Killed by Morlun. Ressurected in a brand new body. Died in Amazing Spider-Man #700. Eventually mainfested in his body that Octavious stole and then took over again. ;N/A
http://marvel.wikia.com/Walter_Newell_(Earth-616)#;Walter Newell;126;NO;MALE;N/A;Jul-90;1990;25;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Elvin_Haliday_(Earth-616)#;Elvin Haliday;158;NO;MALE;Feb-91;N/A;1900;115;Probationary;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/William_Baker_(Earth-616)#;William Baker;355;NO;MALE;Feb-91;N/A;1900;115;Probationary;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Identity_Disc_Vol_1_1. Later was revealed to be alive and working along with the Vulture.;N/A
http://marvel.wikia.com/Crystalia_Amaquelin_(Earth-616)#;Crystal Amaquelin Maximoff;517;NO;FEMALE;Aug-91;Jan-92;1992;23;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Eric_Masterson_(Earth-616)#;Eric Kevin Masterson;202;NO;MALE;N/A;Jan-92;1992;23;Full;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;Became posessed died to purge self of corruption. Revived as undead Avenger minion of the Grim Reaper. Returned to the spirit world by the Scarlet Witch. Has since stayed dead. ;N/A
http://marvel.wikia.com/Philip_Javert_(Earth-921)#;Phillip Javert;31;NO;MALE;N/A;Dec-92;1992;23;Honorary;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Melissa_Darrow_(Earth-9201)#;N/A;28;NO;FEMALE;N/A;Jun-93;1993;22;Honorary;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Deathcry_(Earth-616)#;N/A;50;NO;FEMALE;N/A;Jul-93;1993;22;Honorary;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A; Reduced her to a pile of bones and organsby Vargas. Brought back by Chaos King. Died second time in Chaos_War:_Dead_Avengers_Vol_1_3;N/A
http://marvel.wikia.com/Anthony_Stark_(Earth-96020)#;Anthony Edward Stark;27;NO;MALE;N/A;Feb-96;1996;19;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Merged with 616 Tony Stark;N/A
http://marvel.wikia.com/Giuletta_Nefaria_(Masque)_(Earth-616)#;"""Giulietta Nefaria""";18;NO;FEMALE;N/A;Apr-96;1996;19;Honorary;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Whitney killed was a clone possibly this incarnation of Masque';N/A
http://marvel.wikia.com/Vance_Astrovik_(Earth-616)#;Vance Astrovik;302;NO;MALE;N/A;May-98;1998;17;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Angelica_Jones_(Earth-616)#;Angelica Jones;330;NO;FEMALE;N/A;May-98;1998;17;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Delroy_Garrett_Jr._(Earth-616)#;Delroy Garrett Jr.;101;NO;MALE;N/A;Apr-00;2000;15;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Maria_de_Guadalupe_Santiago_(Earth-616)#;Maria de Guadalupe Santiago;43;NO;FEMALE;N/A;Jul-00;2000;15;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Jonathan_Hart_(Earth-616)#;Jonathan Hart;126;NO;MALE;N/A;01-Aug;2001;14;Full;YES;YES;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;First died in a zero energy explosion in space. Body was apparently reanimated by Scarlet Witch. Abruptly exploded killing Scott Lang as well. Second return in Marvel_Zombies_Supreme_Vol_1_2. ;N/A
http://marvel.wikia.com/Kelsey_Leigh_(Earth-616)#;Kelsey Leigh Shorr;24;NO;FEMALE;N/A;04-Jun;2004;11;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
